axis,metric,n,linear_slope_per_deg,linear_intercept,linear_r2,quadratic_r2
pitch,arrival_latency_s,924,-0.0015840270079476495,0.1286068058313578,0.011281115665245922,0.026528962375701792
yaw,arrival_latency_s,1111,0.0008737506979988278,0.05728787074074126,0.017982314675439093,0.019754989025686176
pitch,trajectory_lag_s,1835,-0.00106019940265875,0.07977119553004573,0.009143311700701928,0.010616296668023328
yaw,trajectory_lag_s,1822,0.0001468621823880093,0.05261633699702695,0.0010439829677098,0.0017857856066751943
