subset,n,fire_to_muzzle_s_median,fire_to_muzzle_s_p90,fire_to_impact_s_median,fire_to_impact_s_p90,pitch_peak_abs_deg_median,pitch_peak_abs_deg_p90,pitch_peak_time_s_median,pitch_peak_time_s_p90,pitch_recovery_s_median,pitch_recovery_s_p90,yaw_peak_abs_deg_median,yaw_peak_abs_deg_p90,yaw_peak_time_s_median,yaw_peak_time_s_p90,yaw_recovery_s_median,yaw_recovery_s_p90,disturbance_vector_abs_deg_median,disturbance_vector_abs_deg_p90
all fire events,375,0.04050892800000838,0.04579566079983124,0.1565862399999105,0.19371668480034712,1.9478039201156818,2.9135452615098703,0.1894215680003981,0.4857634304000385,0.24562585599960585,0.3742321152000841,1.7333999999999996,3.1134734906648625,0.17418111999995745,0.47239485439999956,0.1525708800000416,0.4116751871996712,2.7227421208686238,4.0823815574314715
stable target shots,11,nan,nan,nan,nan,1.8072,2.0106,0.13857715199992526,0.14191743999981554,0.20553011199990578,0.21312768000007054,1.693800000000003,1.8395999999999972,0.07113676800008761,0.08011955199981458,0.11736268799995742,0.15006720000019413,2.477975084620505,2.6162546435696963
"stable target shots, non-trivial disturbance",10,nan,nan,nan,nan,1.8162000000000003,2.02068,0.1390273279998837,0.14206279679983708,0.20657292799990046,0.21372203520008953,1.7109000000000023,1.8458999999999974,0.07174617599980593,0.08048849919987333,0.11791923200007659,0.150339840000197,2.497561199272768,2.625312913485771
