axis,episode_idx,command_time_s,start_time_s,target_hold_after_s,starting_target_deg,final_target_deg,signed_step_deg,step_size_deg,starting_actual_deg,arrival_latency_s,settling_time_s,overshoot_signed_deg,overshoot_abs_deg,trajectory_lag_s,response_window_s,velocity_sample_count,max_velocity_magnitude_deg_s,max_velocity_time_s,velocity_rise_time_90_s,signed_velocity_at_peak_deg_s,starting_velocity_deg_s
pitch,15,398.237903872,397.24851942400005,6.325048320000008,-0.0045999999999999375,0.9954000000000001,1.0,1.0,-0.0036000000000004917,0.12142899200000556,0.31184819200001357,0.0,0.0,0.0,2.0,196,14.801800600606077,0.05607283199998392,0.05607283199998392,14.801800600606077,0.0
pitch,18,408.852372736,408.837069568,37.351788544000044,-7.0,0.9917999999999996,7.9918,7.9918,-7.002,0.2238399999999956,0.3441221120000364,0.0,0.0,nan,2.0,188,99.43029355743091,0.0686127359999773,0.0686127359999773,99.43029355743091,0.34524452518910614
pitch,33,459.47944652800004,457.87052032,9.134690815999988,-7.0,0.9917999999999996,7.9918,7.9918,-7.1064,0.23324825599996757,0.3626206719999914,0.0,0.0,0.095,2.0,194,110.2526795584301,0.07836454400001003,0.07836454400001003,110.2526795584301,0.0
pitch,42,479.574001408,479.240754944,2.1734502400000224,-7.0,0.9917999999999996,7.9918,7.9918,-7.0344,0.2273021440000207,0.34953727999999273,0.0,0.0,0.0,2.0,189,106.55855338721395,0.10317606400002433,0.08238643200002116,106.55855338721395,0.2433211059974297
pitch,97,557.49655552,556.10043264,6.555572992000066,9.333264350891113,0.9917999999999996,-8.341464350891114,8.341464350891114,9.333000000000002,0.235043840000003,0.34608947200001694,-0.005399999999999849,0.005399999999999849,0.075,2.0,182,99.60908425588212,0.08035302400003275,0.07021606399996472,-99.60908425588212,-0.1791218729312489
pitch,103,566.198123776,565.4978503680001,14.789734656000064,5.094895691379428,0.9917999999999996,-4.103095691379428,4.103095691379428,5.065200000000001,0.2176128000000972,0.3467660800000658,-0.005399999999999849,0.005399999999999849,0.11,2.0,172,57.12937761446802,0.08173926400002074,0.08173926400002074,-57.12937761446802,-0.18557986697825732
pitch,105,585.1066411520001,582.49682944,59.149450239999965,11.0,0.9917999999999996,-10.0082,10.0082,11.033999999999999,0.24164403199995377,0.3509250559999373,-0.0,0.0,0.0,2.0,181,122.3516115065758,0.09590156800004479,0.08604236799999398,-122.3516115065758,0.2762444505550749
pitch,108,646.76975616,646.0051906560001,64.02506393600004,-1.0082000000000004,-2.0082000000000004,-1.0,1.0,-1.0152,0.12416947199994866,0.3152524800000265,-0.0,0.0,0.06,2.0,194,13.629270908732105,0.049261568000019906,0.040432384000041566,-13.629270908732105,0.0
pitch,125,742.436976896,739.7194045440001,0.5026114560000678,-1.0025999999999993,-0.0025999999999992696,1.0,1.0,-1.0044000000000004,0.1449886720000677,0.31564876799996,0.0,0.0,0.1,0.5026114560000678,45,12.966971043631961,0.05522009599997091,0.05522009599997091,12.966971043631961,0.19638168919731608
pitch,127,744.1284236800001,743.303159808,4.545583615999931,0.9974000000000007,-1.0025999999999993,-2.0,2.0,0.9954000000000001,0.18686694399991666,0.3269406719999779,-0.005399999999999849,0.005399999999999849,0.06,2.0,177,28.079640580596294,0.07144409599993651,0.07144409599993651,-28.079640580596294,-0.1812224541872597
pitch,134,755.971870208,754.8124636160001,2.722602752000057,11.0,-1.0025999999999993,-12.0026,12.0026,11.088000000000001,0.23920921599994927,0.36019148800005496,-0.005399999999999849,0.005399999999999849,0.0,2.0,175,160.89416739294248,0.10531507200005308,0.10531507200005308,-160.89416739294248,0.0
pitch,140,763.4541857280001,762.906906112,3.2739212799999677,7.225515036203351,-1.0025999999999993,-8.22811503620335,8.22811503620335,7.261199999999999,0.2372213759999795,0.3677565439999171,-0.0,0.0,0.075,2.0,185,112.42088153307408,0.08312793599998258,0.08312793599998258,-112.42088153307408,-1.0491840527429168
pitch,154,781.22059776,780.8645171200001,3.1312680959999852,11.0,-1.0025999999999993,-12.0026,12.0026,10.998000000000001,1.4401118719999886,nan,-0.0,0.0,0.0,2.0,184,151.91802103253596,1.6150530559999652,1.2846627840000338,151.91802103253596,0.0
pitch,162,795.293927936,793.081662208,92.71617612800003,-7.0,-1.0025999999999993,5.997400000000001,5.997400000000001,-7.0686,0.2236339199999975,0.3547696640000595,0.0036000000000004917,0.0036000000000004917,0.0,2.0,191,81.8099107796787,0.07835315199997694,0.06839936000005764,81.8099107796787,0.0
pitch,183,912.036277504,911.791110656,1.098745087999987,-7.0,-1.0025999999999993,5.997400000000001,5.997400000000001,-7.0218,0.22821759999999358,0.34788633599998775,0.0017999999999993577,0.0017999999999993577,0.0,1.098745087999987,106,77.88174416807757,0.0723888640000041,0.06290880000005927,77.88174416807757,0.19818061388355118
pitch,195,921.935586048,920.657644032,1.9351104000000987,-7.0,-1.0025999999999993,5.997400000000001,5.997400000000001,-7.0362,0.22850841600006788,0.35849574400003803,0.0036000000000004917,0.0036000000000004917,0.0,1.9351104000000987,182,78.55831022422136,0.08442444800004978,0.06348505599999044,78.55831022422136,0.0
pitch,235,1089.242870016,1088.188379136,0.5307120639999994,-1.0025999999999993,-0.0025999999999992696,1.0,1.0,-1.0061999999999998,0.13933440000005248,0.310486783999977,0.0,0.0,0.085,0.5307120639999994,50,13.959084808464608,0.06479859199998828,0.0443490559998736,13.959084808464608,0.0
pitch,237,1090.86183808,1090.0169546240002,4.249846784000056,0.9974000000000007,-1.0025999999999993,-2.0,2.0,0.9954000000000001,0.1931317759999729,0.34325631999990946,-0.005399999999999849,0.005399999999999849,0.06,2.0,187,27.743341597858706,0.0796550400000342,0.0796550400000342,-27.743341597858706,0.0
pitch,242,1099.6110592,1098.645819136,2.7010434559999794,11.0,-1.0025999999999993,-12.0026,12.0026,11.116800000000001,0.2369720320000397,0.35762048000015056,-0.0,0.0,0.0,2.0,187,147.22080271633612,0.09226291200002379,0.09226291200002379,-147.22080271633612,-0.19662332214607783
pitch,244,1103.953967616,1102.970898944,31.791856640000105,-0.0025999999999992696,-1.0025999999999993,-1.0,1.0,-0.005399999999999849,0.1296412159999818,0.3099550720000934,-0.005399999999999849,0.005399999999999849,0.065,2.0,186,13.157552760367736,0.05417984000018805,0.05417984000018805,-13.157552760367736,-0.4687083370417403
pitch,274,1168.515480832,1167.170646272,2.93276339199997,11.0,-1.0025999999999993,-12.0026,12.0026,11.0826,0.23800422399995114,0.3482943999999861,-0.010799999999999699,0.010799999999999699,0.135,2.0,175,186.79606215875768,0.08701478399984808,0.08701478399984808,-186.79606215875768,0.0
