axis,step_size_bin,steps,step_size_median_deg,arrival_median_ms,arrival_p90_ms,settling_n,settling_median_ms,trajectory_lag_n,trajectory_lag_median_ms,max_velocity_median_deg_s,velocity_rise_90_median_ms,overshoot_median_deg,overshoot_p90_deg
pitch,all,287,6.410682682726238,226.68134400009876,247.7885440001046,259,351.3807360000101,263,65.0,99.43029355743091,76.52339199921698,0.0036000000000004917,0.012414860685131786
pitch,1-2 deg,64,1.0,143.4206720000475,183.82850559964936,57,315.64876799996,57,65.0,14.91138067776105,53.65004799932649,0.003950002980231293,0.012670278629737021
pitch,2-5 deg,62,3.352986427688599,210.96601599992937,234.36229119961354,44,342.48486400042566,53,70.0,55.51863840104345,70.01049599989528,0.005399999999999849,0.6044434403991706
pitch,5-10 deg,76,8.183700005960464,228.9328640003987,237.29881600002045,75,353.29664000005323,70,75.0,109.58580811775431,77.42585599999074,0.0036000000000004917,0.005399999999999849
pitch,10-15 deg,62,12.0026,242.81779200020992,246.65139200042177,61,359.57196799972735,61,0.0,155.04019924671343,87.86406399985935,0.005399999999999849,0.005399999999999849
pitch,15-20 deg,20,18.999674303425657,252.70284799989895,259.00784639998164,20,376.40435200000866,20,0.0,215.27224224050525,101.01004800071678,0.0017999999999993577,0.005399999999999849
pitch,20-30 deg,1,28.879402886172976,267.7501439993648,267.7501439993648,1,398.56844799942337,1,85.0,316.46378888949295,103.88326399970538,0.0036000000000004917,0.0036000000000004917
pitch,30+ deg,2,35.15969998882413,302.75660799952675,317.70495999980994,1,404.66406399991683,1,0.0,404.24611086088976,113.90969600006429,0.0026999999999999247,0.004859999999999864
yaw,all,406,4.573438760392994,96.99699199973111,169.57209600013812,268,269.6976640002049,362,35.0,100.51641723912037,61.86425599980794,0.08220576896667531,0.19079999999999941
yaw,1-2 deg,159,1.3187918663024902,77.12102400000731,85.28506879983979,43,254.49446400000397,134,0.0,31.239651461409778,48.71014400009699,0.08261153793334941,0.24152808349609542
yaw,2-5 deg,49,3.208816424312907,92.28620799876808,97.61500159993375,34,256.70771199997944,37,45.0,67.11428080554697,52.324096000120335,0.142199999999999,0.20448823295584337
yaw,5-10 deg,88,7.0047999999999995,105.21881599993321,114.2245631995138,83,264.13337600024533,85,0.0,135.41208302624693,65.61900799988507,0.14399999999999835,0.20393999999999934
yaw,10-15 deg,10,12.89986844714928,122.57433599981482,126.93145600042044,10,274.6965759999682,10,45.0,215.9689921846429,78.96211199977188,0.025199999999998113,0.046620000000000036
yaw,15-20 deg,14,17.08765160506869,138.01049600033366,154.28602879983373,14,291.3463039999442,13,45.0,248.72441150557154,80.89734399959525,0.010799999999996146,0.01980000000000004
yaw,20-30 deg,46,26.24774529372634,159.3665280006462,168.13734400011526,44,303.09196800044447,44,45.0,342.3389010308837,93.19737600026201,0.0017999999999998018,0.002700000000001479
yaw,30+ deg,40,32.14049789537253,179.25644800016016,207.4446591997912,40,314.46015999995325,39,45.0,409.6869724112522,103.05209600073795,0.0018000000000000238,0.003600000000002268
