magnitude_bin,episodes,step_like_n,arrival_n,arrival_lt_50ms_n,arrival_median_ms,arrival_ge_50ms_median_ms,settling_n,settling_median_ms,trajectory_lag_n,trajectory_lag_median_ms,target_update_count_median,target_largest_step_fraction_median,duration_median_s,target_hold_lt_200ms_n
10-12 deg,91,33,26,13,45.619583999723545,86.7379199989955,9,144.11955200000648,60,55.0,3.0,0.693238184442911,0.19917311999961385,82
12-14 deg,64,15,18,12,19.20243200038385,113.70419199988646,12,129.18579200049862,55,50.0,4.0,0.5478936324356537,0.30789760000061506,55
14-16 deg,70,37,20,13,8.965631999672041,127.92550400001801,10,274.880896000667,39,50.0,1.0,1.0,0.1497774079998635,60
16-18 deg,77,39,28,20,8.388991999709106,136.51264000054653,16,108.36134399960429,45,50.0,1.0,1.0,0.15290700799960177,64
18-20 deg,54,16,27,21,12.682752000728215,142.76377599958323,11,291.2163840001085,39,55.0,3.0,0.6472724696599838,0.4254231040004015,44
