event_idx,file,fire_time_s,pitch_starting_actual_deg,yaw_starting_actual_deg,pitch_starting_target_deg,yaw_starting_target_deg,pitch_target_range_deg,yaw_target_range_deg,target_motion_vector_deg,pitch_peak_abs_deg,yaw_peak_abs_deg,disturbance_vector_abs_deg,pitch_peak_time_s,yaw_peak_time_s,fire_to_muzzle_s,fire_to_impact_s,description
225,motion_disturbance/01_event_225.svg,4872.392471808001,3.5279999999999987,-6.766200000000001,3.913212299242659,-6.990446769112648,7.602825041837608,3.51156687414737,8.374607485034876,2.4882094823914525,1.7992753902340848,3.0705990226932527,0.44346649599992816,0.3031052799997269,0.049985023999397526,0.17378611200001615,"Event 225: start pitch 3.53 deg, yaw -6.77 deg; target motion vector 8.37 deg; disturbance vector 3.07 deg."
240,motion_disturbance/02_event_240.svg,5178.33288064,6.325199999999999,-5.970600000000001,6.892543292096413,-6.045875406877158,4.900248902484471,6.30696555221224,7.986880103212524,1.8244715834023602,4.215914425394216,4.593760006888666,0.16659788800006936,0.48407270400002744,0.049928192000152194,0.17243263999989722,"Event 240: start pitch 6.33 deg, yaw -5.97 deg; target motion vector 7.99 deg; disturbance vector 4.59 deg."
224,motion_disturbance/03_event_224.svg,4872.032166144,0.9576000000000011,-5.731200000000001,1.6687135634947161,-5.839564752173683,3.651156137675466,2.3610402251969766,4.348040028183206,2.644540425044479,1.8286151042149577,3.215186971088542,0.15235328000017034,0.07391999999981635,0.040235520000351244,0.20232499200028542,"Event 224: start pitch 0.96 deg, yaw -5.73 deg; target motion vector 4.35 deg; disturbance vector 3.22 deg."
236,motion_disturbance/04_event_236.svg,5108.95195776,-1.0638000000000005,-3.7692000000000014,-0.2237846177923597,-3.6614707211388335,5.212431837809547,6.097106111798652,8.021480449539416,2.2878857648897766,3.734470505194764,4.379576603663294,0.19567155200002162,0.3535418880001089,0.0462586880003073,0.1929809920002299,"Event 236: start pitch -1.06 deg, yaw -3.77 deg; target motion vector 8.02 deg; disturbance vector 4.38 deg."
231,motion_disturbance/05_event_231.svg,5057.851428864,-6.0282,-3.0600000000000023,-6.024095995918833,-3.060102803532338,3.9763357347415216,1.7898651080591819,4.360603511032631,2.2164040040811672,1.7164848485137512,2.8033492369814197,0.16926848000002792,0.1296256000005087,0.0400463360001595,0.3093667840003036,"Event 231: start pitch -6.03 deg, yaw -3.06 deg; target motion vector 4.36 deg; disturbance vector 2.80 deg."
165,motion_disturbance/06_event_165.svg,3172.890509824,7.849800000000002,-2.6099999999999994,8.435482480108341,-2.529061981713678,3.519106053472999,1.9350507569902042,4.016033969940826,0.47886760401260986,0.12614276247081158,0.49520316910995765,0.4743743999997605,0.48535961600009614,0.04032358399990699,0.10696524800005136,"Event 165: start pitch 7.85 deg, yaw -2.61 deg; target motion vector 4.02 deg; disturbance vector 0.50 deg."
129,motion_disturbance/07_event_129.svg,2811.639118336,3.790800000000001,-2.5901999999999994,4.605284311155479,-2.468818725302544,6.003376234047,2.217384661479663,6.399790695365406,0.45182994182621883,0.07371941215097166,0.45780437750044406,0.05125171200006662,0.4839715839998462,0.0469544960001258,0.14722278399995048,"Event 129: start pitch 3.79 deg, yaw -2.59 deg; target motion vector 6.40 deg; disturbance vector 0.46 deg."
219,motion_disturbance/08_event_219.svg,3808.088652032,9.9648,-0.6264000000000003,10.477956877624173,-0.4286142779625699,1.3467999810770017,4.172008757674995,4.384008127632277,0.5304734290100619,0.24638478049890367,0.5848995802248332,0.4578521600001295,0.4687966720002805,0.03985510400025305,0.10294092800040744,"Event 219: start pitch 9.96 deg, yaw -0.63 deg; target motion vector 4.38 deg; disturbance vector 0.58 deg."
264,motion_disturbance/09_event_264.svg,6119.96275072,1.2192000223517425,-0.5130000000000017,2.0920891544111004,-0.6015709807652918,6.039519711339553,4.214723801727008,7.364760353772765,1.7825629459607777,1.9781378054033638,2.662810514001776,0.1512678400004006,0.44277862400031154,0.040616704000058235,0.19517593599994143,"Event 264: start pitch 1.22 deg, yaw -0.51 deg; target motion vector 7.36 deg; disturbance vector 2.66 deg."
1,motion_disturbance/10_event_1.svg,456.734144,5.8446,0.08999999999999986,6.763270551180426,0.27261111197496746,4.298702037775879,7.41591124665505,8.571731378656434,3.379753174428087,2.476629465620455,4.190038786220981,0.4031892479999897,0.39337267199999815,0.039897088000032,0.12806656000003613,"Event 1: start pitch 5.84 deg, yaw 0.09 deg; target motion vector 8.57 deg; disturbance vector 4.19 deg."
